latitude,longitude
40.775036,-73.91203399999999
40.770258,-73.917843
40.766779,-73.921479
40.76182,-73.925508
40.756803999999995,-73.929575
40.752882,-73.932755
40.76266,-73.967258
40.764811,-73.973347
40.764664,-73.98065799999999
40.759901,-73.984139
40.754672,-73.986754
40.749567,-73.98795
40.745494,-73.988691
40.741303,-73.98934399999999
40.735735999999996,-73.99056800000001
40.730328,-73.99262900000001
40.724329,-73.997702
40.719527,-74.001775
40.718383,-74.00046
40.713282,-74.006978
40.710668,-74.01102900000001
40.70722,-74.01334200000001
40.703087,-74.01299399999999
40.6941,-73.991777
40.69218,-73.98594200000001
40.690635,-73.981824
40.683665999999995,-73.97881
40.677316,-73.98311
40.670846999999995,-73.988302
40.665414,-73.99287199999999
40.660396999999996,-73.998091
40.655144,-74.00354899999999
40.648939,-74.010006
40.645069,-74.014034
40.641362,-74.017881
40.634966999999996,-74.023377
40.629742,-74.02551
40.622687,-74.028398
40.616622,-74.030876
40.684459999999994,-73.97689
40.67705,-73.972367
40.661614,-73.962246
40.655291999999996,-73.961495
40.650527000000004,-73.962982
40.644031,-73.964492
40.640927000000005,-73.963891
40.635082000000004,-73.962793
40.62927,-73.961639
40.625039,-73.960803
40.617618,-73.959399
40.608670000000004,-73.957734
40.5993,-73.955929
40.595246,-73.955161
40.586896,-73.954155
40.577621,-73.961376
40.576312,-73.968501
40.576127,-73.975939
40.577422,-73.98123299999999
40.646291999999995,-73.994324
40.640914,-73.994304
40.63626,-73.994791
40.631434999999996,-73.995476
40.626472,-73.996895
40.619589000000005,-73.998864
40.613501,-74.00061
40.607954,-74.001736
40.604556,-73.998168
40.601875,-73.993728
40.597704,-73.986829
40.588840999999995,-73.983765
40.635064,-74.011719
40.631386,-74.005351
40.624842,-73.996353
40.620671,-73.990414
40.61741,-73.985026
40.611815,-73.981848
40.603922999999995,-73.98035300000001
40.597473,-73.979137
40.592721000000004,-73.97823000000001
40.700492,-73.828294
40.697418,-73.836345
40.695178000000006,-73.84433
40.693878999999995,-73.851576
40.692434999999996,-73.86001
40.691324,-73.867139
40.689941,-73.87255
40.683194,-73.873785
40.68141,-73.880039
40.679947,-73.884639
40.678024,-73.891688
40.676992,-73.89865400000001
40.679497999999995,-73.904512
40.682893,-73.91045600000001
40.686370000000004,-73.91655899999999
40.68963,-73.92227
40.693342,-73.928814
40.697207,-73.93565699999999
40.70026,-73.941126
40.703869,-73.947408
40.70687,-73.95343100000001
40.708359,-73.957757
40.718315000000004,-73.987437
40.720279999999995,-73.993915
40.718092,-73.999892
40.713243,-74.003401
40.710374,-74.007582
40.706476,-74.01105600000001
40.711396,-73.889601
40.706185999999995,-73.895877
40.704423,-73.903077
40.702762,-73.90774
40.69943,-73.912385
40.698664,-73.91971099999999
40.697857,-73.927397
40.739777000000004,-74.002578
40.737334999999995,-73.996786
40.734789,-73.99073
40.732849,-73.986122
40.730953,-73.981628
40.717304,-73.956872
40.714063,-73.950275
40.714565,-73.944053
40.711926,-73.94067
40.707739000000004,-73.93985
40.706152,-73.93314699999999
40.706607,-73.922913
40.703811,-73.918425
40.699814,-73.911586
40.695602,-73.904084
40.688764,-73.904046
40.682829,-73.905249
40.678856,-73.90324
40.675345,-73.903097
40.669367,-73.901975
40.664038,-73.900571
40.658733000000005,-73.899232
40.650573,-73.899485
40.646654,-73.90185
40.680596,-73.955827
40.674772,-73.957624
40.670343,-73.959245
40.868072,-73.919899
40.865491,-73.92727099999999
40.859021999999996,-73.93418
40.851695,-73.937969
40.847390999999995,-73.939704
40.840719,-73.939561
40.836013,-73.939892
40.830518,-73.941514
40.824783000000004,-73.944216
40.824783000000004,-73.944216
40.817894,-73.947649
40.811109,-73.952343
40.805085,-73.954882
40.800603,-73.958161
40.796092,-73.961454
40.791641999999996,-73.96469599999999
40.785868,-73.96891600000001
40.781433,-73.972143
40.775594,-73.97641
40.768296,-73.981736
40.762456,-73.985984
40.757308,-73.989735
40.752287,-73.993391
40.745906,-73.998041
40.740893,-74.00169
40.732338,-74.000495
40.732338,-74.000495
40.726227,-74.003739
40.720824,-74.005229
40.714110999999995,-74.008585
40.712582,-74.009781
40.710196999999994,-74.00769100000001
40.699337,-73.990531
40.692338,-73.987342
40.688484,-73.985001
40.686113,-73.973946
40.683263000000004,-73.965838
40.68138,-73.956848
40.680438,-73.95042600000001
40.679921,-73.94085799999999
40.679364,-73.930729
40.678822,-73.92078599999999
40.678340000000006,-73.911946
40.678334,-73.905316
40.674541999999995,-73.896548
40.672709999999995,-73.89035799999999
40.67413,-73.88075
40.675377000000005,-73.872106
40.677044,-73.86505
40.679371,-73.858992
40.679843,-73.85146999999999
40.680429,-73.843853
40.681711,-73.837683
40.684331,-73.832163
40.685951,-73.82579799999999
40.672096999999994,-73.83591899999999
40.668234000000005,-73.834058
40.660476,-73.830301
40.608382,-73.815925
40.608382,-73.815925
40.588034,-73.813641
40.585307,-73.82055799999999
40.583209000000004,-73.827559
40.580903,-73.835592
40.590927,-73.796924
40.592374,-73.788522
40.592943,-73.776013
40.595397999999996,-73.768175
40.600066,-73.761353
40.603995,-73.75540500000001
40.874811,-73.878855
40.873244,-73.88713800000001
40.866978,-73.893509
40.861296,-73.897749
40.856093,-73.900741
40.85041,-73.905227
40.8459,-73.910136
40.839306,-73.9134
40.833771,-73.91844
40.827905,-73.925651
40.830135,-73.938209
40.754203000000004,-73.942836
40.759145000000004,-73.95326
40.764629,-73.966113
40.763971999999995,-73.97745
40.758663,-73.981329
40.754222,-73.984569
40.749719,-73.98782299999999
40.742878000000005,-73.99282099999999
40.738228,-73.996209
40.725297,-73.996204
40.718267,-73.993753
40.723402,-73.989938
40.718610999999996,-73.988114
40.713715,-73.990173
40.701397,-73.986751
40.686145,-73.99086199999999
40.680303,-73.995048
40.67358,-73.995959
40.670272,-73.989779
40.666271,-73.980305
40.660365000000006,-73.979493
40.650782,-73.975776
40.644040999999994,-73.979678
40.636119,-73.978172
40.629754999999996,-73.97697099999999
40.625322,-73.976127
40.620769,-73.975264
40.615140000000004,-73.974197
40.608944,-73.973022
40.603217,-73.97236099999999
40.596063,-73.973357
40.589620000000004,-73.97425
40.581011,-73.974574
40.712646,-73.783817
40.71047,-73.793604
40.707564,-73.803326
40.705459999999995,-73.81070799999999
40.709179,-73.820574
40.714441,-73.831008
40.718331,-73.837324
40.721691,-73.844521
40.726523,-73.852719
40.729846,-73.861604
40.733106,-73.869229
40.737015,-73.877223
40.742453999999995,-73.882017
40.746644,-73.891338
40.749669,-73.898453
40.752885,-73.906006
40.756312,-73.913333
40.756879,-73.92074000000001
40.752039,-73.928781
40.748973,-73.93724300000001
40.747846,-73.946
40.757552000000004,-73.96905500000001
40.760166999999996,-73.975224
40.762862,-73.981637
40.702147,-73.801109
40.700486,-73.807969
40.702566,-73.816859
40.746553999999996,-73.943832
40.744065,-73.949724
40.731352,-73.954449
40.724635,-73.951277
40.712792,-73.951418
40.706092,-73.95030799999999
40.700377,-73.950234
40.694568,-73.949046
40.689627,-73.95352199999999
40.688873,-73.96007
40.688089,-73.96683900000001
40.687119,-73.975375
40.889247999999995,-73.898583
40.884667,-73.90087
40.878856,-73.904834
40.874561,-73.90983100000001
40.869444,-73.915279
40.864621,-73.91882199999999
40.860531,-73.925536
40.855225,-73.929412
40.849505,-73.933596
40.840556,-73.94013299999999
40.834041,-73.94489
40.826551,-73.95036
40.822008000000004,-73.953676
40.815581,-73.958372
40.807722,-73.96410999999999
40.803967,-73.966847
40.799446,-73.968379
40.793919,-73.972323
40.788644,-73.976218
40.783934,-73.979917
40.778453000000006,-73.98196999999999
40.77344,-73.982209
40.768246999999995,-73.98192900000001
40.761728000000005,-73.98384899999999
40.75529,-73.987495
40.750372999999996,-73.991057
40.747215000000004,-73.993365
40.744081,-73.995657
40.741040000000005,-73.99787099999999
40.737826,-74.000201
40.733422,-74.00290600000001
40.728251,-74.005367
40.722854,-74.006277
40.719318,-74.006886
40.715478000000004,-74.009266
40.711835,-74.012188
40.707513,-74.01378299999999
40.702068,-74.013664
40.713051,-74.008811
40.709416,-74.006571
40.706821000000005,-74.0091
40.697466,-73.993086
40.693219,-73.989998
40.690545,-73.985065
40.688246,-73.980492
40.684359,-73.977666
40.680828999999996,-73.975098
40.675235,-73.971046
40.671987,-73.964375
40.670682,-73.95813100000001
40.669847,-73.950466
40.669399,-73.942161
40.668896999999994,-73.93294200000001
40.664716999999996,-73.92260999999999
40.661453,-73.916327
40.662549,-73.908946
40.663515000000004,-73.902447
40.664635,-73.89489499999999
40.665449,-73.889395
40.666235,-73.884079
40.667883,-73.950683
40.662742,-73.95085
40.656652,-73.9502
40.650843,-73.949575
40.645098,-73.948959
40.639967,-73.948411
40.632836,-73.947642
40.852462,-73.828121
40.84681,-73.83256899999999
40.843863,-73.836322
40.839892,-73.842952
40.836488,-73.847036
40.834255,-73.85122199999999
40.833226,-73.860816
40.831509000000004,-73.86761800000001
40.829521,-73.874516
40.828584,-73.879159
40.826525,-73.88628299999999
40.820948,-73.890549
40.816103999999996,-73.896435
40.812118,-73.904098
40.808719,-73.907657
40.805368,-73.91404200000001
40.807565999999994,-73.91924
40.810476,-73.926138
40.886037,-73.878751
40.87975,-73.88465500000001
40.873412,-73.890064
40.86776,-73.89717399999999
40.862803,-73.901034
40.858407,-73.903879
40.853453,-73.907684
40.84848,-73.911794
40.844434,-73.91468499999999
40.840075,-73.91779100000001
40.835537,-73.9214
40.827994,-73.925831
40.818375,-73.927351
40.813224,-73.929849
40.804138,-73.93759399999999
40.798629,-73.94161700000001
40.79502,-73.94425
40.7906,-73.947478
40.785672,-73.95107
40.779492,-73.955589
40.77362,-73.959874
40.768141,-73.96387
40.762526,-73.967967
40.757107,-73.97192
40.751776,-73.976848
40.746081,-73.982076
40.74307,-73.984264
40.739864000000004,-73.986599
40.734673,-73.989951
40.730053999999996,-73.99107
40.725915,-73.994659
40.722301,-73.997141
40.718803,-74.00019300000001
40.713065,-74.004131
40.710368,-74.009509
40.707557,-74.011862
40.704817,-74.014065
40.692403999999996,-73.990151
40.903125,-73.85061999999999
40.898379,-73.854376
40.893193,-73.857473
40.888022,-73.860341
40.883895,-73.862633
40.87785,-73.866256
40.871356,-73.867164
40.865462,-73.867352
40.857192,-73.867615
40.848828000000005,-73.86845699999999
40.841894,-73.873488
40.840295000000005,-73.880049
40.837288,-73.887734
40.829993,-73.891865
40.824073,-73.893064
40.822181,-73.896736
40.819585,-73.90177
40.81649,-73.90780699999999
40.816109000000004,-73.917757
40.81841,-73.92671800000001
40.823879999999996,-73.93647
40.820421,-73.936245
40.814229,-73.94077
40.807753999999996,-73.945495
40.802098,-73.949625
40.799075,-73.95182199999999
40.8883,-73.830834
40.878663,-73.83859100000001
40.869526,-73.846384
40.858985,-73.85535899999999
40.854364000000004,-73.860495
40.7596,-73.83003000000001
40.754622,-73.845625
40.75173,-73.855334
40.749865,-73.8627
40.749145,-73.869527
40.748408000000005,-73.876613
40.747659000000006,-73.883697
40.746848,-73.89139399999999
40.746325,-73.896403
40.74563,-73.902984
40.744149,-73.912549
40.743132,-73.918435
40.743781,-73.92401600000001
40.744587,-73.93099699999999
40.750582,-73.940202
40.750582,-73.940202
40.747023,-73.945264
40.742216,-73.948916
40.742626,-73.953581
40.751431,-73.97604100000001
40.753821,-73.98196300000001
40.755477,-73.987691
40.755983,-73.98622900000001
40.752769,-73.979189
40.755882,-74.00191
40.784318,-73.947152
40.777891,-73.951787
40.768799,-73.958424
40.643747999999995,-74.073643
40.636949,-74.074835
40.627915,-74.075162
40.621319,-74.071402
40.603117,-74.084087
40.596612,-74.08736800000001
40.588848999999996,-74.09609
40.583591,-74.103338
40.578965000000004,-74.10970400000001
40.573479999999996,-74.11721
40.56511,-74.12631999999999
40.5564,-74.136907
40.551231,-74.151399
40.544601,-74.16457
40.540459999999996,-74.178217
40.533674,-74.19179399999999
40.525507,-74.200064
40.52241,-74.21784699999999
40.519631,-74.229141
40.512764000000004,-74.251961
40.516578,-74.24209599999999
